Computing_Time,Num_Of_Var,IWSP,VAP,MTSP,Inventory_Cost,Total_Fixed_Cost,Total_Variable_Cost,Crossover_Rate,Mutation_Rate
15121,17,322258.92,288543.0,14265.0,4648.915509149566,29067.0,288543.0,0.5,0.4
14308,17,327817.92,294102.0,14296.0,4648.915509149566,29067.0,294102.0,0.5,0.4
13953,17,331988.92,298273.0,14356.0,4648.915509149566,29067.0,298273.0,0.5,0.4
14571,17,324926.92,291211.0,14258.0,4648.915509149566,29067.0,291211.0,0.5,0.4
15351,17,328523.92,294808.0,14338.0,4648.915509149566,29067.0,294808.0,0.5,0.4
15079,17,322771.92,289056.0,14160.0,4648.915509149566,29067.0,289056.0,0.5,0.4
14847,17,327713.92,293998.0,14208.0,4648.915509149566,29067.0,293998.0,0.5,0.4
16078,17,329188.92,295473.0,14397.0,4648.915509149566,29067.0,295473.0,0.5,0.4
15281,17,332214.92,298499.0,14189.0,4648.915509149566,29067.0,298499.0,0.5,0.4
15585,17,331169.92,297454.0,14333.0,4648.915509149566,29067.0,297454.0,0.5,0.4
14879,17,319881.92,286166.0,14306.0,4648.915509149566,29067.0,286166.0,0.5,0.4
14869,17,340231.92,306516.0,14401.0,4648.915509149566,29067.0,306516.0,0.5,0.4
14801,17,323245.92,289530.0,14232.0,4648.915509149566,29067.0,289530.0,0.5,0.4
14248,17,324029.92,290314.0,14346.0,4648.915509149566,29067.0,290314.0,0.5,0.4
14367,17,325588.92,291873.0,14329.0,4648.915509149566,29067.0,291873.0,0.5,0.4
14357,17,310300.92,276585.0,14143.0,4648.915509149566,29067.0,276585.0,0.5,0.4
14717,17,328931.92,295216.0,14363.0,4648.915509149566,29067.0,295216.0,0.5,0.4
15575,17,323361.92,289646.0,14334.0,4648.915509149566,29067.0,289646.0,0.5,0.4
14899,17,321835.92,288120.0,14218.0,4648.915509149566,29067.0,288120.0,0.5,0.4
14647,17,325069.92,291354.0,14236.0,4648.915509149566,29067.0,291354.0,0.5,0.4
