Computing_Time,Num_Of_Var,IWSP,VAP,MTSP,Inventory_Cost,Total_Fixed_Cost,Total_Variable_Cost,Crossover_Rate,Mutation_Rate
308,5,70990.38,57246.0,3503.0,996.3848162756981,12748.0,57246.0,0.9,0.5
309,5,75074.38,61330.0,3538.0,996.3848162756981,12748.0,61330.0,0.9,0.5
314,5,73038.38,59294.0,3515.0,996.3848162756981,12748.0,59294.0,0.9,0.5
310,5,72601.38,58857.0,3574.0,996.3848162756981,12748.0,58857.0,0.9,0.5
318,5,72129.38,58385.0,3496.0,996.3848162756981,12748.0,58385.0,0.9,0.5
346,5,71608.38,57864.0,3563.0,996.3848162756981,12748.0,57864.0,0.9,0.5
313,5,72299.38,58555.0,3556.0,996.3848162756981,12748.0,58555.0,0.9,0.5
309,5,73664.38,59920.0,3525.0,996.3848162756981,12748.0,59920.0,0.9,0.5
358,5,75176.38,61432.0,3587.0,996.3848162756981,12748.0,61432.0,0.9,0.5
327,5,71174.38,57430.0,3479.0,996.3848162756981,12748.0,57430.0,0.9,0.5
329,5,70553.38,56809.0,3592.0,996.3848162756981,12748.0,56809.0,0.9,0.5
333,5,70495.38,56751.0,3603.0,996.3848162756981,12748.0,56751.0,0.9,0.5
310,5,71022.38,57278.0,3560.0,996.3848162756981,12748.0,57278.0,0.9,0.5
312,5,72075.38,58331.0,3580.0,996.3848162756981,12748.0,58331.0,0.9,0.5
310,5,70670.38,56926.0,3529.0,996.3848162756981,12748.0,56926.0,0.9,0.5
350,5,74042.38,60298.0,3549.0,996.3848162756981,12748.0,60298.0,0.9,0.5
314,5,74305.38,60561.0,3585.0,996.3848162756981,12748.0,60561.0,0.9,0.5
313,5,73049.38,59305.0,3542.0,996.3848162756981,12748.0,59305.0,0.9,0.5
348,5,74852.38,61108.0,3569.0,996.3848162756981,12748.0,61108.0,0.9,0.5
324,5,73698.38,59954.0,3500.0,996.3848162756981,12748.0,59954.0,0.9,0.5
