Computing_Time,Num_Of_Var,IWSP,VAP,MTSP,Inventory_Cost,Total_Fixed_Cost,Total_Variable_Cost,Crossover_Rate,Mutation_Rate
13353,16,350051.75,318838.0,14224.0,3691.7549068664157,27522.0,318838.0,0.8,0.4
12468,16,352641.75,321428.0,14263.0,3691.7549068664157,27522.0,321428.0,0.8,0.4
12322,16,351855.75,320642.0,14181.0,3691.7549068664157,27522.0,320642.0,0.8,0.4
12315,16,356917.75,325704.0,14407.0,3691.7549068664157,27522.0,325704.0,0.8,0.4
11838,16,343440.75,312227.0,14129.0,3691.7549068664157,27522.0,312227.0,0.8,0.4
11865,16,351983.75,320770.0,14288.0,3691.7549068664157,27522.0,320770.0,0.8,0.4
12149,16,347002.75,315789.0,14259.0,3691.7549068664157,27522.0,315789.0,0.8,0.4
12606,16,346790.75,315577.0,14238.0,3691.7549068664157,27522.0,315577.0,0.8,0.4
12451,16,351351.75,320138.0,14348.0,3691.7549068664157,27522.0,320138.0,0.8,0.4
11582,16,342543.75,311330.0,14171.0,3691.7549068664157,27522.0,311330.0,0.8,0.4
11732,16,340463.75,309250.0,14207.0,3691.7549068664157,27522.0,309250.0,0.8,0.4
11725,16,351784.75,320571.0,14167.0,3691.7549068664157,27522.0,320571.0,0.8,0.4
11518,16,346003.75,314790.0,14161.0,3691.7549068664157,27522.0,314790.0,0.8,0.4
11965,16,345759.75,314546.0,14241.0,3691.7549068664157,27522.0,314546.0,0.8,0.4
12488,16,347184.75,315971.0,14274.0,3691.7549068664157,27522.0,315971.0,0.8,0.4
11575,16,359152.75,327939.0,14241.0,3691.7549068664157,27522.0,327939.0,0.8,0.4
11492,16,350135.75,318922.0,14182.0,3691.7549068664157,27522.0,318922.0,0.8,0.4
11569,16,349842.75,318629.0,14368.0,3691.7549068664157,27522.0,318629.0,0.8,0.4
11529,16,350623.75,319410.0,14313.0,3691.7549068664157,27522.0,319410.0,0.8,0.4
11783,16,350147.75,318934.0,14271.0,3691.7549068664157,27522.0,318934.0,0.8,0.4
