Computing_Time,Num_Of_Var,IWSP,VAP,MTSP,Inventory_Cost,Total_Fixed_Cost,Total_Variable_Cost,Crossover_Rate,Mutation_Rate
478,4,98426.52,89471.0,2934.0,1022.5157823552291,7933.0,89471.0,0.7,0.3
477,4,99336.52,90381.0,2900.0,1022.5157823552291,7933.0,90381.0,0.7,0.3
474,4,95808.52,86853.0,2830.0,1022.5157823552291,7933.0,86853.0,0.7,0.3
529,4,93331.52,84376.0,2905.0,1022.5157823552291,7933.0,84376.0,0.7,0.3
484,4,92856.52,83901.0,2882.0,1022.5157823552291,7933.0,83901.0,0.7,0.3
473,4,97534.52,88579.0,2890.0,1022.5157823552291,7933.0,88579.0,0.7,0.3
551,4,96573.52,87618.0,2862.0,1022.5157823552291,7933.0,87618.0,0.7,0.3
478,4,98982.52,90027.0,2915.0,1022.5157823552291,7933.0,90027.0,0.7,0.3
482,4,99754.52,90799.0,3027.0,1022.5157823552291,7933.0,90799.0,0.7,0.3
482,4,100290.52,91335.0,3104.0,1022.5157823552291,7933.0,91335.0,0.7,0.3
478,4,98488.52,89533.0,2972.0,1022.5157823552291,7933.0,89533.0,0.7,0.3
476,4,93861.52,84906.0,3001.0,1022.5157823552291,7933.0,84906.0,0.7,0.3
463,4,98451.52,89496.0,3027.0,1022.5157823552291,7933.0,89496.0,0.7,0.3
468,4,99414.52,90459.0,2949.0,1022.5157823552291,7933.0,90459.0,0.7,0.3
468,4,93257.52,84302.0,2855.0,1022.5157823552291,7933.0,84302.0,0.7,0.3
473,4,97247.52,88292.0,2913.0,1022.5157823552291,7933.0,88292.0,0.7,0.3
477,4,96803.52,87848.0,2814.0,1022.5157823552291,7933.0,87848.0,0.7,0.3
467,4,97202.52,88247.0,2914.0,1022.5157823552291,7933.0,88247.0,0.7,0.3
463,4,96045.52,87090.0,2790.0,1022.5157823552291,7933.0,87090.0,0.7,0.3
480,4,99198.52,90243.0,3022.0,1022.5157823552291,7933.0,90243.0,0.7,0.3
