Computing_Time,Num_Of_Var,IWSP,VAP,MTSP,Inventory_Cost,Total_Fixed_Cost,Total_Variable_Cost,Crossover_Rate,Mutation_Rate
739,8,91411.64,82485.0,3013.0,915.6384096195964,8011.0,82485.0,0.7,0.5
755,8,91540.64,82614.0,3004.0,915.6384096195964,8011.0,82614.0,0.7,0.5
736,8,90364.64,81438.0,2989.0,915.6384096195964,8011.0,81438.0,0.7,0.5
766,8,88257.64,79331.0,2902.0,915.6384096195964,8011.0,79331.0,0.7,0.5
743,8,91605.64,82679.0,3028.0,915.6384096195964,8011.0,82679.0,0.7,0.5
724,8,91873.64,82947.0,3032.0,915.6384096195964,8011.0,82947.0,0.7,0.5
726,8,90916.64,81990.0,3070.0,915.6384096195964,8011.0,81990.0,0.7,0.5
727,8,91865.64,82939.0,3074.0,915.6384096195964,8011.0,82939.0,0.7,0.5
742,8,92775.64,83849.0,3080.0,915.6384096195964,8011.0,83849.0,0.7,0.5
730,8,90734.64,81808.0,2990.0,915.6384096195964,8011.0,81808.0,0.7,0.5
721,8,89059.64,80133.0,3015.0,915.6384096195964,8011.0,80133.0,0.7,0.5
734,8,93029.64,84103.0,3090.0,915.6384096195964,8011.0,84103.0,0.7,0.5
717,8,90422.64,81496.0,2978.0,915.6384096195964,8011.0,81496.0,0.7,0.5
729,8,90807.64,81881.0,2979.0,915.6384096195964,8011.0,81881.0,0.7,0.5
723,8,90707.64,81781.0,2985.0,915.6384096195964,8011.0,81781.0,0.7,0.5
728,8,90338.64,81412.0,2962.0,915.6384096195964,8011.0,81412.0,0.7,0.5
730,8,90488.64,81562.0,2939.0,915.6384096195964,8011.0,81562.0,0.7,0.5
720,8,91109.64,82183.0,2993.0,915.6384096195964,8011.0,82183.0,0.7,0.5
724,8,92025.64,83099.0,3041.0,915.6384096195964,8011.0,83099.0,0.7,0.5
728,8,90649.64,81723.0,2990.0,915.6384096195964,8011.0,81723.0,0.7,0.5
