Computing_Time,Num_Of_Var,IWSP,VAP,MTSP,Inventory_Cost,Total_Fixed_Cost,Total_Variable_Cost,Crossover_Rate,Mutation_Rate
1686,4,46658.34,31445.0,1343.0,560.3404212212081,14653.0,31445.0,0.8,0.2
1810,4,50780.53,31682.0,1330.0,622.5345812954235,18476.0,31682.0,0.8,0.2
1967,4,46364.34,31151.0,1292.0,560.3404212212081,14653.0,31151.0,0.8,0.2
1826,6,50373.74,29772.0,1138.0,834.7387188412287,19767.0,29772.0,0.8,0.2
1768,4,43839.08,31323.0,1369.0,710.083973117178,11806.0,31323.0,0.8,0.2
2057,6,44932.74,24331.0,1176.0,834.7387188412287,19767.0,24331.0,0.8,0.2
1712,4,46449.8,31099.0,1309.0,707.7951659308021,14643.0,31099.0,0.8,0.2
1832,4,45368.02,32928.0,1470.0,658.0183584985928,11782.0,32928.0,0.8,0.2
1722,4,44489.07,26053.0,1333.0,631.07226050424,17805.0,26053.0,0.8,0.2
1918,4,45170.08,32654.0,1408.0,710.083973117178,11806.0,32654.0,0.8,0.2
1733,4,43491.32,31092.0,1336.0,583.3165284133619,11816.0,31092.0,0.8,0.2
1773,4,43753.02,31313.0,1384.0,658.0183584985928,11782.0,31313.0,0.8,0.2
1994,4,45717.34,30504.0,1333.0,560.3404212212081,14653.0,30504.0,0.8,0.2
1614,4,47834.32,32560.0,1423.0,655.3240922902986,14619.0,32560.0,0.8,0.2
1915,7,54604.11,29116.0,1121.0,895.1138884091182,24593.0,29116.0,0.8,0.2
1787,4,47163.34,31950.0,1347.0,560.3404212212081,14653.0,31950.0,0.8,0.2
1937,4,49131.8,33781.0,1437.0,707.7951659308021,14643.0,33781.0,0.8,0.2
1780,4,47924.32,32650.0,1423.0,655.3240922902986,14619.0,32650.0,0.8,0.2
1907,4,46718.34,31505.0,1353.0,560.3404212212081,14653.0,31505.0,0.8,0.2
1795,4,44014.08,31498.0,1331.0,710.083973117178,11806.0,31498.0,0.8,0.2
