Computing_Time,Num_Of_Var,IWSP,VAP,MTSP,Inventory_Cost,Total_Fixed_Cost,Total_Variable_Cost,Crossover_Rate,Mutation_Rate
11427,19,196467.0,112724.0,1974.0,1987.998502115082,81755.0,112724.0,0.6,0.1
10790,17,164255.03,114462.0,2208.0,1919.0347373986442,47874.0,114462.0,0.6,0.1
11358,16,164203.72,108970.0,2150.0,1880.7182441252194,53353.0,108970.0,0.6,0.1
11233,21,199322.77,112490.0,1982.0,2148.772203738609,84684.0,112490.0,0.6,0.1
10745,17,181574.56,113578.0,2055.0,1963.5584394606744,66033.0,113578.0,0.6,0.1
11098,18,181963.04,113671.0,2086.0,2050.038086707832,66242.0,113671.0,0.6,0.1
10951,21,184252.65,108468.0,2005.0,2004.6502685094733,73780.0,108468.0,0.6,0.1
10492,15,158793.41,111608.0,2295.0,1805.4096450904303,45380.0,111608.0,0.6,0.1
11096,22,190132.29,107094.0,2040.0,2025.29327802924,81013.0,107094.0,0.6,0.1
10762,18,169685.44,114618.0,2139.0,1986.4426047945287,53081.0,114618.0,0.6,0.1
10757,14,179740.73,116148.0,2267.0,1879.7278620442614,61713.0,116148.0,0.6,0.1
10311,20,188549.88,114196.0,2037.0,2132.8796851482725,72221.0,114196.0,0.6,0.1
11547,20,192957.23,107572.0,2033.0,2078.2328296024943,83307.0,107572.0,0.6,0.1
10529,15,176230.0,115083.0,2176.0,1915.0035266478242,59232.0,115083.0,0.6,0.1
10502,16,171838.66,115126.0,2217.0,1823.6626919631653,54889.0,115126.0,0.6,0.1
10869,20,198636.32,113373.0,2036.0,2085.3186972395797,83178.0,113373.0,0.6,0.1
10544,18,175508.31,108555.0,2035.0,1922.3097436174048,65031.0,108555.0,0.6,0.1
10705,16,167642.55,114026.0,2192.0,1957.5489276650765,51659.0,114026.0,0.6,0.1
11559,20,196388.36,106858.0,1929.0,2190.3580750270016,87340.0,106858.0,0.6,0.1
10272,16,174862.02,115174.0,2202.0,1815.0206960153055,57873.0,115174.0,0.6,0.1
