Computing_Time,Num_Of_Var,IWSP,VAP,MTSP,Inventory_Cost,Total_Fixed_Cost,Total_Variable_Cost,Crossover_Rate,Mutation_Rate
4735,11,117248.68,65979.0,1984.0,1099.6785152494685,50170.0,65979.0,0.5,0.5
4680,8,106949.92,66804.0,2198.0,1002.9184174791313,39143.0,66804.0,0.5,0.5
4738,10,117717.92,65148.0,1977.0,1068.9228588269102,51501.0,65148.0,0.5,0.5
4638,9,112164.69,64484.0,2076.0,825.6858569290184,46855.0,64484.0,0.5,0.5
4623,10,108050.39,65550.0,2053.0,1020.3907521011575,41480.0,65550.0,0.5,0.5
4643,9,100695.27,58552.0,2192.0,931.2687848388679,41212.0,58552.0,0.5,0.5
4734,9,99801.92,66265.0,2168.0,991.9223790945382,32545.0,66265.0,0.5,0.5
4672,8,97426.12,65556.0,2022.0,936.1232748104854,30934.0,65556.0,0.5,0.5
4660,8,99272.87,62120.0,2209.0,1052.8749791772996,36100.0,62120.0,0.5,0.5
4626,9,99030.68,65795.0,1986.0,929.6822767835944,32306.0,65795.0,0.5,0.5
4642,9,110161.88,66627.0,2022.0,1066.882629319163,42468.0,66627.0,0.5,0.5
4584,10,106154.82,62754.0,2167.0,1128.8184532134774,42272.0,62754.0,0.5,0.5
4616,10,109062.49,65047.0,2113.0,868.4887443270467,43147.0,65047.0,0.5,0.5
4652,9,101924.63,61364.0,1993.0,1026.629256084118,39534.0,61364.0,0.5,0.5
4579,9,113359.72,63248.0,1943.0,973.7212365358316,49138.0,63248.0,0.5,0.5
4575,10,112872.34,65255.0,1978.0,1147.340448047372,46470.0,65255.0,0.5,0.5
4548,11,118827.65,66751.0,2057.0,1070.6461146825416,51006.0,66751.0,0.5,0.5
4566,7,102386.0,67993.0,2267.0,937.0029171706002,33456.0,67993.0,0.5,0.5
4577,10,110997.78,65696.0,2010.0,1076.780896583803,44225.0,65696.0,0.5,0.5
4574,8,106989.25,67868.0,2221.0,983.2546517707724,38138.0,67868.0,0.5,0.5
