Computing_Time,Num_Of_Var,IWSP,VAP,MTSP,Inventory_Cost,Total_Fixed_Cost,Total_Variable_Cost,Crossover_Rate,Mutation_Rate
3792,8,88820.5,45815.0,1857.0,1022.495382312418,41983.0,45815.0,0.7,0.1
3647,8,88551.5,45546.0,1843.0,1022.495382312418,41983.0,45546.0,0.7,0.1
3845,8,88478.49,45017.0,1920.0,1090.4873455765662,42371.0,45017.0,0.7,0.1
3832,8,88966.5,45961.0,1898.0,1022.495382312418,41983.0,45961.0,0.7,0.1
3661,8,88273.5,45268.0,1909.0,1022.495382312418,41983.0,45268.0,0.7,0.1
3586,7,82176.25,47532.0,2028.0,982.2486695856874,33662.0,47532.0,0.7,0.1
3708,8,88670.5,45665.0,1946.0,1022.495382312418,41983.0,45665.0,0.7,0.1
3831,8,90080.5,47075.0,1842.0,1022.495382312418,41983.0,47075.0,0.7,0.1
3790,8,89284.5,46279.0,1860.0,1022.495382312418,41983.0,46279.0,0.7,0.1
3820,8,85348.5,42343.0,1937.0,1022.495382312418,41983.0,42343.0,0.7,0.1
3746,8,87311.5,44306.0,1902.0,1022.495382312418,41983.0,44306.0,0.7,0.1
3746,7,84213.04,46182.0,1868.0,888.0400646536559,37143.0,46182.0,0.7,0.1
3652,8,88535.5,45530.0,1870.0,1022.495382312418,41983.0,45530.0,0.7,0.1
3497,6,75492.79,45823.0,2077.0,847.7933519269254,28822.0,45823.0,0.7,0.1
3716,8,86351.5,43346.0,1972.0,1022.495382312418,41983.0,43346.0,0.7,0.1
3811,8,88393.5,45388.0,1853.0,1022.495382312418,41983.0,45388.0,0.7,0.1
3818,8,89006.5,46001.0,1880.0,1022.495382312418,41983.0,46001.0,0.7,0.1
3649,8,89453.5,46448.0,1856.0,1022.495382312418,41983.0,46448.0,0.7,0.1
3703,8,85445.5,42440.0,1926.0,1022.495382312418,41983.0,42440.0,0.7,0.1
3814,8,86425.5,43420.0,1949.0,1022.495382312418,41983.0,43420.0,0.7,0.1
