Computing_Time,Num_Of_Var,IWSP,VAP,MTSP,Inventory_Cost,Total_Fixed_Cost,Total_Variable_Cost,Crossover_Rate,Mutation_Rate
4757,6,63725.36,38417.0,2005.0,913.3629504460316,24395.0,38417.0,0.8,0.5
4069,8,68850.26,37264.0,1774.0,1220.2553936088807,30366.0,37264.0,0.8,0.5
4050,8,70868.96,36113.0,1898.0,1081.9559180828455,33674.0,36113.0,0.8,0.5
4026,7,64393.78,37337.0,2000.0,1155.7849082061634,25901.0,37337.0,0.8,0.5
4033,7,68412.09,37925.0,1873.0,1118.0919780980475,29369.0,37925.0,0.8,0.5
4077,8,68466.81,36548.0,1821.0,1251.8081127666944,30667.0,36548.0,0.8,0.5
4093,8,67513.81,35595.0,1783.0,1251.8081127666944,30667.0,35595.0,0.8,0.5
4638,8,70270.91,35450.0,1775.0,1168.906033257325,33652.0,35450.0,0.8,0.5
4207,7,63967.17,37532.0,2036.0,1043.1653973354119,25392.0,37532.0,0.8,0.5
4049,7,62391.78,35335.0,1992.0,1155.7849082061634,25901.0,35335.0,0.8,0.5
4138,7,69332.74,35611.0,1910.0,1066.7426177464918,32655.0,35611.0,0.8,0.5
4076,7,67192.74,33471.0,1973.0,1066.7426177464918,32655.0,33471.0,0.8,0.5
4024,7,63475.99,36680.0,2010.0,1102.9882882770219,25693.0,36680.0,0.8,0.5
4039,7,63046.17,36611.0,1977.0,1043.1653973354119,25392.0,36611.0,0.8,0.5
4031,7,65165.87,38059.0,1967.0,1255.8710625612207,25851.0,38059.0,0.8,0.5
3995,8,67265.53,37902.0,1949.0,1296.5288421102223,28067.0,37902.0,0.8,0.5
4023,8,69194.12,37017.0,1828.0,1302.120779049139,30875.0,37017.0,0.8,0.5
4036,8,69138.81,37220.0,1863.0,1251.8081127666944,30667.0,37220.0,0.8,0.5
4065,8,68805.26,37219.0,1905.0,1220.2553936088807,30366.0,37219.0,0.8,0.5
4022,7,66838.72,36014.0,1926.0,1154.7248385612372,29670.0,36014.0,0.8,0.5
