Computing_Time,Num_Of_Var,IWSP,VAP,MTSP,Inventory_Cost,Total_Fixed_Cost,Total_Variable_Cost,Crossover_Rate,Mutation_Rate
105501,31,433586.56,279853.0,10526.0,5672.558941158533,148061.0,279853.0,0.8,0.2
105063,35,427605.11,273831.0,10447.0,6434.11124735579,147340.0,273831.0,0.8,0.2
105640,34,431048.36,275016.0,10589.0,6036.3563121278285,149996.0,275016.0,0.8,0.2
106082,33,433144.42,274005.0,10425.0,6052.422937120044,153087.0,274005.0,0.8,0.2
105465,32,415596.91,279227.0,10531.0,5808.90554272435,130561.0,279227.0,0.8,0.2
106106,35,433083.8,268208.0,10156.0,5946.802415837194,158929.0,268208.0,0.8,0.2
105268,31,422353.13,279091.0,10699.0,5775.1346741439465,137487.0,279091.0,0.8,0.2
106800,34,434492.64,272392.0,10540.0,5807.641539393775,156293.0,272392.0,0.8,0.2
105636,32,405932.91,278400.0,10616.0,6202.910615074723,121330.0,278400.0,0.8,0.2
105721,34,411264.65,265670.0,10270.0,6447.651002922933,139147.0,265670.0,0.8,0.2
105711,34,432520.23,270472.0,10435.0,6218.22788792807,155830.0,270472.0,0.8,0.2
106087,34,435152.5,276640.0,10381.0,6197.504601785923,152315.0,276640.0,0.8,0.2
105970,34,438151.16,280804.0,10542.0,6274.162954368162,151073.0,280804.0,0.8,0.2
106028,32,431950.88,278236.0,10620.0,5683.879075130901,148031.0,278236.0,0.8,0.2
105801,33,422460.61,276409.0,10592.0,6118.614388305001,139933.0,276409.0,0.8,0.2
106121,31,427150.86,274329.0,10769.0,5722.864191521808,147099.0,274329.0,0.8,0.2
106968,31,418068.78,280311.0,10887.0,5783.780578590627,131974.0,280311.0,0.8,0.2
106035,31,426999.41,274960.0,10656.0,6324.407999639661,145715.0,274960.0,0.8,0.2
105220,32,426339.05,270770.0,10637.0,6067.045452312497,149502.0,270770.0,0.8,0.2
105503,32,419110.64,270635.0,10548.0,5684.640818666538,142791.0,270635.0,0.8,0.2
