Computing_Time,Num_Of_Var,IWSP,VAP,MTSP,Inventory_Cost,Total_Fixed_Cost,Total_Variable_Cost,Crossover_Rate,Mutation_Rate
1790,6,47978.92,29643.0,1167.0,479.9156807597076,17856.0,29643.0,0.6,0.3
1680,5,45669.35,32535.0,1383.0,409.35132303065626,12725.0,32535.0,0.6,0.3
1838,6,45533.3,31475.0,1292.0,574.30393335456,13484.0,31475.0,0.6,0.3
1693,5,41150.72,32123.0,1334.0,463.7247623992756,8564.0,32123.0,0.6,0.3
1756,5,48533.28,31386.0,1283.0,531.2774510129834,16616.0,31386.0,0.6,0.3
1683,7,48649.34,29398.0,1079.0,636.3444500053761,18615.0,29398.0,0.6,0.3
1842,6,45784.3,31726.0,1294.0,574.30393335456,13484.0,31726.0,0.6,0.3
1700,6,51190.95,30184.0,1254.0,546.9473193844166,20460.0,30184.0,0.6,0.3
1690,5,50846.6,30652.0,1186.0,354.60076166105057,19840.0,30652.0,0.6,0.3
1778,5,41471.72,32444.0,1348.0,463.7247623992756,8564.0,32444.0,0.6,0.3
1706,7,49689.34,30438.0,1077.0,636.3444500053761,18615.0,30438.0,0.6,0.3
1873,5,44713.3,31743.0,1355.0,486.29897732277715,12484.0,31743.0,0.6,0.3
1708,6,48356.51,30123.0,1190.0,617.5068318930001,17616.0,30123.0,0.6,0.3
1850,6,49407.51,31174.0,1186.0,617.5068318930001,17616.0,31174.0,0.6,0.3
1712,6,44756.3,30698.0,1250.0,574.30393335456,13484.0,30698.0,0.6,0.3
1850,6,46246.3,32188.0,1277.0,574.30393335456,13484.0,32188.0,0.6,0.3
1746,6,47692.18,29528.0,1139.0,519.182676152917,17645.0,29528.0,0.6,0.3
1751,6,44928.93,30699.0,1191.0,534.9342729891173,13695.0,30699.0,0.6,0.3
1857,7,52085.54,29732.0,1111.0,544.5433455894329,21809.0,29732.0,0.6,0.3
1685,5,43572.35,30438.0,1296.0,409.35132303065626,12725.0,30438.0,0.6,0.3
