Computing_Time,Num_Of_Var,IWSP,VAP,MTSP,Inventory_Cost,Total_Fixed_Cost,Total_Variable_Cost,Crossover_Rate,Mutation_Rate
5091,10,104277.78,58707.0,1885.0,879.7839189711904,44691.0,58707.0,0.8,0.4
4960,8,101801.58,62689.0,1858.0,1033.5774995627373,38079.0,62689.0,0.8,0.4
5008,9,108385.92,61071.0,1885.0,992.9192818177318,46322.0,61071.0,0.8,0.4
4965,9,89557.84,55862.0,1892.0,1156.8446308600141,32539.0,55862.0,0.8,0.4
4960,8,103441.99,60845.0,2028.0,1089.9914148823457,41507.0,60845.0,0.8,0.4
4983,11,108254.69,58240.0,1784.0,1103.68833874775,48911.0,58240.0,0.8,0.4
5125,8,103677.18,60146.0,2160.0,981.1822230381899,42550.0,60146.0,0.8,0.4
4942,7,91451.55,56564.0,2074.0,1052.5520504517317,33835.0,56564.0,0.8,0.4
5021,8,106605.94,63652.0,2019.0,940.9408652790878,42013.0,63652.0,0.8,0.4
4943,8,104646.73,60892.0,2143.0,1098.7339325274506,42656.0,60892.0,0.8,0.4
4977,7,90556.58,60040.0,1961.0,1092.576548058701,29424.0,60040.0,0.8,0.4
4952,7,92861.99,61093.0,2077.0,866.9937955382138,30902.0,61093.0,0.8,0.4
4984,10,107516.42,58878.0,1988.0,1211.4177148743643,47427.0,58878.0,0.8,0.4
4976,10,101583.45,58600.0,1972.0,1160.447039895061,41823.0,58600.0,0.8,0.4
4993,8,95940.81,63335.0,1971.0,1048.8078100918806,31557.0,63335.0,0.8,0.4
4977,9,97505.92,55660.0,1939.0,966.9198330723375,40879.0,55660.0,0.8,0.4
4999,8,97992.11,66021.0,2106.0,908.1123450156504,31063.0,66021.0,0.8,0.4
4936,8,106066.73,62312.0,2178.0,1098.7339325274506,42656.0,62312.0,0.8,0.4
4954,9,103276.6,58742.0,1886.0,1195.6040596446148,43339.0,58742.0,0.8,0.4
5057,7,96745.88,65178.0,2032.0,901.8822483864869,30666.0,65178.0,0.8,0.4
