Computing_Time,Num_Of_Var,IWSP,VAP,MTSP,Inventory_Cost,Total_Fixed_Cost,Total_Variable_Cost,Crossover_Rate,Mutation_Rate
4679,8,71909.88,36286.0,1085.0,878.879589641336,34745.0,36286.0,0.8,0.1
4337,14,100410.25,29947.0,821.0,990.252094777142,69473.0,29947.0,0.8,0.1
4243,12,87906.0,30288.0,906.0,990.0042848659339,56628.0,30288.0,0.8,0.1
4228,13,94963.25,29577.0,859.0,957.2477756630501,64429.0,29577.0,0.8,0.1
4392,12,88075.58,30813.0,877.0,929.5836646753786,56333.0,30813.0,0.8,0.1
4232,11,88892.91,29635.0,900.0,907.905427654437,58350.0,29635.0,0.8,0.1
4389,14,102432.84,24564.0,832.0,970.8354594542084,76898.0,24564.0,0.8,0.1
4382,14,94069.1,30287.0,892.0,1085.0965022344217,62697.0,30287.0,0.8,0.1
4247,11,88355.56,32094.0,915.0,860.5649002622116,55401.0,32094.0,0.8,0.1
4159,11,90674.79,30760.0,965.0,874.7945612340814,59040.0,30760.0,0.8,0.1
4360,14,100657.0,29656.0,803.0,944.9976728107129,70056.0,29656.0,0.8,0.1
4038,13,96164.33,30374.0,861.0,965.327097465765,64825.0,30374.0,0.8,0.1
4381,12,82018.22,27039.0,1025.0,980.2219717308478,53999.0,27039.0,0.8,0.1
4272,12,87025.58,29763.0,883.0,929.5836646753786,56333.0,29763.0,0.8,0.1
4251,12,91414.15,30597.0,927.0,949.146191067073,59868.0,30597.0,0.8,0.1
4196,12,89613.33,31813.0,929.0,884.3292427089493,56916.0,31813.0,0.8,0.1
4239,12,90587.66,29916.0,875.0,881.6597351563782,59790.0,29916.0,0.8,0.1
4549,11,87960.77,31188.0,969.0,820.7698885851926,55952.0,31188.0,0.8,0.1
4267,13,92274.72,29901.0,919.0,1025.7163269444627,61348.0,29901.0,0.8,0.1
4300,13,92735.31,30135.0,908.0,924.3058400443,61676.0,30135.0,0.8,0.1
