Computing_Time,Num_Of_Var,IWSP,VAP,MTSP,Inventory_Cost,Total_Fixed_Cost,Total_Variable_Cost,Crossover_Rate,Mutation_Rate
1813,6,72777.2,40170.0,1189.0,655.2044224995836,31952.0,40170.0,0.7,0.3
1783,5,65999.18,40819.0,1319.0,644.1760063573241,24536.0,40819.0,0.7,0.3
1870,5,60200.06,41965.0,1438.0,651.0631695958793,17584.0,41965.0,0.7,0.3
1762,6,67295.29,41540.0,1383.0,792.2911412264664,24963.0,41540.0,0.7,0.3
1878,5,60586.06,42351.0,1423.0,651.0631695958793,17584.0,42351.0,0.7,0.3
1756,6,63257.42,40147.0,1328.0,766.4195248863323,22344.0,40147.0,0.7,0.3
1745,6,67503.41,41245.0,1249.0,742.4126199836986,25516.0,41245.0,0.7,0.3
1903,7,66367.19,39451.0,1141.0,769.1855517721347,26147.0,39451.0,0.7,0.3
1698,6,62660.8,40625.0,1268.0,648.7961069978984,21387.0,40625.0,0.7,0.3
1853,5,59615.14,41655.0,1308.0,815.1430831896168,17145.0,41655.0,0.7,0.3
1696,5,60505.78,42614.0,1336.0,709.7832187178676,17182.0,42614.0,0.7,0.3
1902,6,63102.84,41275.0,1226.0,709.8441989066372,21118.0,41275.0,0.7,0.3
1754,6,65651.18,39837.0,1249.0,663.1798958446245,25151.0,39837.0,0.7,0.3
1778,6,66718.18,40904.0,1243.0,663.1798958446245,25151.0,40904.0,0.7,0.3
1829,6,68122.41,41864.0,1294.0,742.4126199836986,25516.0,41864.0,0.7,0.3
1808,7,67505.19,40589.0,1186.0,769.1855517721347,26147.0,40589.0,0.7,0.3
1992,5,61540.42,43237.0,1383.0,756.4230340676287,17547.0,43237.0,0.7,0.3
1826,5,58287.06,40052.0,1315.0,651.0631695958793,17584.0,40052.0,0.7,0.3
1936,6,66160.54,40278.0,1239.0,768.5397603163739,25114.0,40278.0,0.7,0.3
1709,5,61075.06,42840.0,1344.0,651.0631695958793,17584.0,42840.0,0.7,0.3
