Computing_Time,Num_Of_Var,IWSP,VAP,MTSP,Inventory_Cost,Total_Fixed_Cost,Total_Variable_Cost,Crossover_Rate,Mutation_Rate
119213,36,378554.1,244047.0,10215.0,6594.102057683721,127913.0,244047.0,0.9,0.4
122643,34,378135.24,243988.0,10211.0,6079.241363459446,128068.0,243988.0,0.9,0.4
116776,36,390502.19,247379.0,10178.0,6211.188812830234,136912.0,247379.0,0.9,0.4
116770,35,374441.21,242608.0,10276.0,5766.212482671845,126067.0,242608.0,0.9,0.4
115639,34,359189.02,249250.0,10455.0,6387.021491550263,103552.0,249250.0,0.9,0.4
118082,35,386658.88,245524.0,10107.0,6307.883371906183,134827.0,245524.0,0.9,0.4
118147,34,382434.47,248173.0,10203.0,6525.468551202229,127736.0,248173.0,0.9,0.4
115879,36,385251.12,247476.0,9962.0,6338.124510584612,131437.0,247476.0,0.9,0.4
115274,30,371847.09,247266.0,10620.0,6047.091232129114,118534.0,247266.0,0.9,0.4
115832,33,379734.83,248999.0,10212.0,6409.827343081611,124326.0,248999.0,0.9,0.4
115331,35,385170.37,246699.0,10252.0,6306.37125695305,132165.0,246699.0,0.9,0.4
113608,34,381579.93,248547.0,10398.0,6263.928248177714,126769.0,248547.0,0.9,0.4
114349,38,391871.1,242449.0,9772.0,6736.097090213775,142686.0,242449.0,0.9,0.4
114635,36,375160.98,243269.0,10086.0,6131.977261183793,125760.0,243269.0,0.9,0.4
115149,34,375391.69,250469.0,10444.0,6020.69052059499,118902.0,250469.0,0.9,0.4
115539,34,362728.66,251115.0,10532.0,6407.658998789954,105206.0,251115.0,0.9,0.4
113893,34,363221.16,247314.0,10361.0,6054.155055009818,109853.0,247314.0,0.9,0.4
114528,33,375096.62,246596.0,10449.0,6332.617573620988,122168.0,246596.0,0.9,0.4
115475,36,389182.49,246119.0,10025.0,5938.490132177563,137125.0,246119.0,0.9,0.4
114424,36,384817.38,248258.0,10153.0,6516.379263724025,130043.0,248258.0,0.9,0.4
