Computing_Time,Num_Of_Var,IWSP,VAP,MTSP,Inventory_Cost,Total_Fixed_Cost,Total_Variable_Cost,Crossover_Rate,Mutation_Rate
4625,13,74707.34,28407.0,891.0,875.344523182803,45425.0,28407.0,0.8,0.2
4030,11,65908.37,27947.0,840.0,773.369719060486,37188.0,27947.0,0.8,0.2
4319,11,74360.87,33603.0,942.0,814.8713345521269,39943.0,33603.0,0.8,0.2
4517,10,62893.29,29633.0,1049.0,693.2898877849872,32567.0,29633.0,0.8,0.2
4163,10,72354.94,28597.0,983.0,763.9389871146642,42994.0,28597.0,0.8,0.2
4125,10,61070.56,25492.0,1048.0,727.5557141039764,34851.0,25492.0,0.8,0.2
4090,13,72353.52,28746.0,865.0,819.518522768631,42788.0,28746.0,0.8,0.2
3896,10,68228.12,28409.0,905.0,756.1227354778434,39063.0,28409.0,0.8,0.2
3990,11,75094.62,29691.0,938.0,784.6172714089533,44619.0,29691.0,0.8,0.2
3980,9,57044.19,28950.0,1016.0,673.1943371004793,27421.0,28950.0,0.8,0.2
3990,12,82428.21,29073.0,883.0,849.2101802165897,52506.0,29073.0,0.8,0.2
3911,12,69412.6,33168.0,919.0,760.6026935903503,35484.0,33168.0,0.8,0.2
4086,9,57318.37,29011.0,1010.0,712.367775430149,27595.0,29011.0,0.8,0.2
4755,8,65284.64,24058.0,1040.0,549.6358690203404,40677.0,24058.0,0.8,0.2
4705,12,76274.14,29899.0,972.0,781.1431148743368,45594.0,29899.0,0.8,0.2
4990,13,68533.69,28982.0,909.0,829.6862163828214,38722.0,28982.0,0.8,0.2
4808,10,62365.96,29382.0,1000.0,788.9630478717327,32195.0,29382.0,0.8,0.2
4228,12,74486.15,29076.0,927.0,832.1523738450935,44578.0,29076.0,0.8,0.2
5174,11,73164.45,29433.0,919.0,733.4506618806172,42998.0,29433.0,0.8,0.2
4144,12,78328.82,28464.0,845.0,859.81684418486,49005.0,28464.0,0.8,0.2
