Computing_Time,Num_Of_Var,IWSP,VAP,MTSP,Inventory_Cost,Total_Fixed_Cost,Total_Variable_Cost,Crossover_Rate,Mutation_Rate
31611,30,251278.19,149626.0,3432.0,3197.1919198332585,98455.0,149626.0,0.7,0.3
31470,29,250728.64,138270.0,3502.0,3328.636037597823,109130.0,138270.0,0.7,0.3
31146,28,247855.08,147082.0,3545.0,3385.080971457999,97388.0,147082.0,0.7,0.3
30694,26,242324.21,145975.0,3729.0,3165.205372380973,93184.0,145975.0,0.7,0.3
31458,33,264012.64,142252.0,3336.0,3493.6410820066517,118267.0,142252.0,0.7,0.3
31699,26,231905.36,131967.0,3695.0,3520.3627906300067,96418.0,131967.0,0.7,0.3
30695,32,267309.97,140675.0,3260.0,3559.9748287894568,123075.0,140675.0,0.7,0.3
31146,32,267416.35,142487.0,3398.0,3614.354702974692,121315.0,142487.0,0.7,0.3
31771,30,268341.87,147482.0,3346.0,3629.8694987185145,117230.0,147482.0,0.7,0.3
31559,26,247657.49,144079.0,3489.0,3483.4870925982837,100095.0,144079.0,0.7,0.3
30989,31,250304.5,144915.0,3402.0,3591.5047327837524,101798.0,144915.0,0.7,0.3
30992,31,259695.85,144689.0,3444.0,3406.8477319922445,111600.0,144689.0,0.7,0.3
30349,27,237712.85,148443.0,3675.0,3030.846438121344,86239.0,148443.0,0.7,0.3
39576,30,251559.2,142918.0,3377.0,3413.2025214919386,105228.0,142918.0,0.7,0.3
36351,32,254671.1,143536.0,3394.0,3679.0954204326526,107456.0,143536.0,0.7,0.3
30936,29,243809.82,142656.0,3496.0,3384.8151201567507,97769.0,142656.0,0.7,0.3
30652,29,250261.14,149132.0,3460.0,3469.1420571407957,97660.0,149132.0,0.7,0.3
30918,32,254736.77,145032.0,3490.0,3738.7688295445582,105966.0,145032.0,0.7,0.3
31572,29,249851.78,136694.0,3595.0,3253.777805476891,109904.0,136694.0,0.7,0.3
31419,30,259567.7,146551.0,3354.0,3582.704050322306,109434.0,146551.0,0.7,0.3
