Computing_Time,Num_Of_Var,IWSP,VAP,MTSP,Inventory_Cost,Total_Fixed_Cost,Total_Variable_Cost,Crossover_Rate,Mutation_Rate
3356,6,46928.7,36383.0,2210.0,888.6987555822229,9657.0,36383.0,0.8,0.4
3171,6,48483.76,33906.0,2211.0,858.76092442653,13719.0,33906.0,0.8,0.4
3169,7,49905.31,34282.0,2203.0,901.3149318246635,14722.0,34282.0,0.8,0.4
3196,7,49297.31,33674.0,2148.0,901.3149318246635,14722.0,33674.0,0.8,0.4
3194,7,50979.31,35356.0,2151.0,901.3149318246635,14722.0,35356.0,0.8,0.4
3165,7,46359.76,34776.0,2165.0,932.7647164564191,10651.0,34776.0,0.8,0.4
3177,6,48585.63,34119.0,2197.0,788.6319988880464,13678.0,34119.0,0.8,0.4
3194,6,49177.14,34666.0,2230.0,771.1449298652803,13740.0,34666.0,0.8,0.4
3211,7,50309.22,34805.0,2116.0,832.2202045848342,14672.0,34805.0,0.8,0.4
3183,7,50334.22,34830.0,2227.0,832.2202045848342,14672.0,34830.0,0.8,0.4
3300,6,46692.7,36147.0,2142.0,888.6987555822229,9657.0,36147.0,0.8,0.4
3249,7,46066.76,34483.0,2178.0,932.7647164564191,10651.0,34483.0,0.8,0.4
3212,7,49630.22,34126.0,2113.0,832.2202045848342,14672.0,34126.0,0.8,0.4
3214,7,52565.13,33434.0,2166.0,936.1332358508221,18195.0,33434.0,0.8,0.4
3181,6,46381.7,35836.0,2200.0,888.6987555822229,9657.0,35836.0,0.8,0.4
3138,7,49605.22,34101.0,2160.0,832.2202045848342,14672.0,34101.0,0.8,0.4
3169,7,50095.31,34472.0,2144.0,901.3149318246635,14722.0,34472.0,0.8,0.4
3192,7,49370.31,33747.0,2125.0,901.3149318246635,14722.0,33747.0,0.8,0.4
3156,7,49358.31,33735.0,2175.0,901.3149318246635,14722.0,33735.0,0.8,0.4
3203,6,45496.31,34953.0,2375.0,895.3124665362986,9648.0,34953.0,0.8,0.4
