Computing_Time,Num_Of_Var,IWSP,VAP,MTSP,Inventory_Cost,Total_Fixed_Cost,Total_Variable_Cost,Crossover_Rate,Mutation_Rate
285413,24,293641.09,166751.0,6111.0,3482.088620383663,123408.0,166751.0,0.7,0.2
278796,25,297665.64,173395.0,6594.0,3639.6355215449053,120631.0,173395.0,0.7,0.2
272824,16,261887.34,179871.0,7350.0,2775.3383150580257,79241.0,179871.0,0.7,0.2
275604,17,280857.39,187059.0,7816.0,3501.3917047443065,90297.0,187059.0,0.7,0.2
273385,22,264367.14,169104.0,6424.0,3340.1374455216896,91923.0,169104.0,0.7,0.2
276115,20,289466.84,178029.0,7035.0,3227.8387524254817,108210.0,178029.0,0.7,0.2
291201,26,271025.69,163134.0,6119.0,3970.6896289958713,103921.0,163134.0,0.7,0.2
281085,17,270450.48,175514.0,6990.0,2435.483578252348,92501.0,175514.0,0.7,0.2
287189,25,305064.6,170857.0,6462.0,3408.5951246150717,130799.0,170857.0,0.7,0.2
281941,23,298068.57,174554.0,6848.0,3570.567837617036,119944.0,174554.0,0.7,0.2
302200,19,272702.43,171122.0,6538.0,3022.4257115796167,98558.0,171122.0,0.7,0.2
365316,24,282808.35,166039.0,5908.0,3353.345302614292,113416.0,166039.0,0.7,0.2
304188,22,277415.13,168366.0,6370.0,2580.126777128024,106469.0,168366.0,0.7,0.2
284841,24,283040.87,167871.0,6415.0,3430.868897449116,111739.0,167871.0,0.7,0.2
280260,20,278585.73,171961.0,6865.0,2818.725688247742,103806.0,171961.0,0.7,0.2
279867,23,269504.54,162844.0,6152.0,3058.5427788062307,103602.0,162844.0,0.7,0.2
282705,16,277836.19,188657.0,7736.0,3065.192296196914,86114.0,188657.0,0.7,0.2
280631,17,287578.3,182355.0,7437.0,2762.296021310335,102461.0,182355.0,0.7,0.2
277399,19,266810.23,170141.0,6690.0,2821.228325047554,93848.0,170141.0,0.7,0.2
281921,26,288945.02,165886.0,6079.0,3567.0172493529,119492.0,165886.0,0.7,0.2
