Computing_Time,Num_Of_Var,IWSP,VAP,MTSP,Inventory_Cost,Total_Fixed_Cost,Total_Variable_Cost,Crossover_Rate,Mutation_Rate
34202,15,138439.91,80364.0,1940.0,1585.9079413562436,56490.0,80364.0,0.5,0.4
33928,11,104001.05,72838.0,2110.0,1230.0467299812713,29933.0,72838.0,0.5,0.4
34051,15,146488.31,78542.0,1766.0,1139.3112185146322,66807.0,78542.0,0.5,0.4
34303,15,141219.98,75843.0,1928.0,1365.9830517994144,64011.0,75843.0,0.5,0.4
34162,12,132136.92,80463.0,1984.0,1421.9240977976413,50252.0,80463.0,0.5,0.4
34002,15,137084.85,79357.0,1752.0,1547.8491244311786,56180.0,79357.0,0.5,0.4
34030,12,119065.12,70740.0,1878.0,1346.1175000254932,46979.0,70740.0,0.5,0.4
33697,11,128855.24,82922.0,2245.0,1150.241612565293,44783.0,82922.0,0.5,0.4
33648,11,118122.04,82023.0,2198.0,1289.0396508446313,34810.0,82023.0,0.5,0.4
33882,12,118778.94,82618.0,2037.0,1164.9449297482752,34996.0,82618.0,0.5,0.4
33903,18,149721.77,77791.0,1591.0,1493.76714408872,70437.0,77791.0,0.5,0.4
33714,17,136982.81,77365.0,1580.0,1317.80917915961,58300.0,77365.0,0.5,0.4
34019,9,121119.91,80562.0,2043.0,1163.9051328115088,39394.0,80562.0,0.5,0.4
33808,17,146082.9,79510.0,1727.0,1375.8962441060125,65197.0,79510.0,0.5,0.4
33633,12,130533.11,80082.0,1840.0,1231.1144995914572,49220.0,80082.0,0.5,0.4
33968,14,136182.09,78901.0,1785.0,1330.0897880568284,55951.0,78901.0,0.5,0.4
33904,14,119309.38,80808.0,1961.0,1386.378216654344,37115.0,80808.0,0.5,0.4
33962,12,135443.46,81013.0,1829.0,1127.4579500488053,53303.0,81013.0,0.5,0.4
33628,12,135920.09,81549.0,2068.0,892.090048865864,53479.0,81549.0,0.5,0.4
33596,16,137094.8,75017.0,1768.0,1416.7978085005318,60661.0,75017.0,0.5,0.4
